Data Source,World Development Indicators,,Removed all years except indicated,,,,,,,
,,,,,,,,,,
Last Updated Date,6/30/21,,,,,,,,,
,,,,,,,,,,
New Caledonia,NCL,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Niger,NER,GNI per capita (constant LCU),NY.GNP.PCAP.KN,288980.6882,297932.6372,300369.7384,301860.9892,305022.4288,316861.9989,301838.0801
Nigeria,NGA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,354844.8949,373564.9153,376734.3067,362967.2628,353901.9629,346680.0152,361448.893
Nicaragua,NIC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,24286.45779,25392.61284,26200.63115,26734.69872,27499.11231,26332.23814,26074.29182
Netherlands,NLD,GNI per capita (constant LCU),NY.GNP.PCAP.KN,40242.66725,40028.81688,40763.88069,40791.70499,42678.05283,43596.86131,41350.33066
Norway,NOR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,595805.8901,613651.4321,624533.5212,626134.2957,631749.0825,635879.6893,621292.3185
Nepal,NPL,GNI per capita (constant LCU),NY.GNP.PCAP.KN,63183.50604,67531.98165,69884.26702,69463.10973,74523.25925,78600.63244,70531.12602
Nauru,NRU,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
New Zealand,NZL,GNI per capita (constant LCU),NY.GNP.PCAP.KN,51278.5142,52313.72287,53557.78431,54361.09891,54815.27397,55669.32799,53665.95371
OECD members,OED,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Oman,OMN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,6515.001256,6105.47247,6217.747625,6247.407444,5927.87526,5631.955776,6107.576638
Other small states,OSS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Pakistan,PAK,GNI per capita (constant LCU),NY.GNP.PCAP.KN,52317.13806,53608.65422,54937.77913,56638.89555,58710.94386,60825.52347,56173.15571
Panama,PAN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,7969.286229,8013.897304,8537.506128,8729.568309,9184.616448,9259.017925,8615.648724
Peru,PER,GNI per capita (constant LCU),NY.GNP.PCAP.KN,14515.94549,14811.804,15290.75711,15543.90549,15585.16902,15861.48402,15268.17752
Philippines,PHL,GNI per capita (constant LCU),NY.GNP.PCAP.KN,150149.6932,156802.3076,163933.9113,172401.3833,181512.281,189517.9065,169052.9138
Palau,PLW,GNI per capita (constant LCU),NY.GNP.PCAP.KN,15102.7375,15861.16804,17111.6728,17245.41262,16443.36386,17163.22536,16487.93003
Papua New Guinea,PNG,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Poland,POL,GNI per capita (constant LCU),NY.GNP.PCAP.KN,39459.95579,40654.53013,42428.07343,43641.69272,45651.57992,48096.11835,43321.99172
Pre-demographic dividend,PRE,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Puerto Rico,PRI,GNI per capita (constant LCU),NY.GNP.PCAP.KN,1458.439076,1458.006648,1453.746182,1441.218975,1414.767626,1445.682573,1445.31018
